title,description,genres
Taffin,An Irish tough-guy debt collector is asked by his local community to help rid the town of developers bent on building a chemical plant on the outskirts of town. The developers are ruthless ... See full summary »,"['Action', 'Thriller']"
Phantasm II,"Mike, now released from a psychiatric hospital, meets with Reggie, and discover his dreams ( the events of the original film) are real, and they both journey to find and stop the evil Tall Man from his grim work.","['Action', 'Fantasy', 'Horror']"
Animal World,A man finds himself deep in debt and is coerced to board a ship that hosts a risky gambling party.,"['Action', 'Fantasy', 'Sci-Fi']"
Redline,A gorgeous young automobile fanatic--and front to the hottest unsigned band on the West coast--finds herself caught up in illegal drag-racing competitions organized by exotic car fanatics.,Action
Dawn Breaks Behind the Eyes,"A couple spend eternity in a castle until their reality starts to shift, as the unknown moves into their lives.","['Action', 'Horror', 'Mystery']"
Jackass 3D,"Johnny Knoxville and company return for the third installment of their TV show spin-off, where dangerous stunts and explicit public displays rule.","['Documentary', 'Action', 'Comedy']"
Mission of Honor,"The exploits of 303 Squadron RAF during the Battle of Britain. The squadron consisted of Polish pilots, many of whom were veterans of the air battles involved in Germany's invasion of Poland.","['Action', 'Drama', 'War']"
Day of the Falcon,"Set in the 1930s Arab states at the dawn of the oil boom, the story centers on a young Arab prince torn between allegiance to his conservative father and his modern, liberal father-in-law.","['Action', 'Drama', 'History']"
Canary Black,It follows Avery Graves as she is blackmailed by terrorists into betraying her own country to save her kidnapped husband.,Action
Yaksha: Ruthless Operations,"Nicknamed after a human-devouring spirit, the ruthless leader of an overseas black ops team takes up a dangerous mission in a city riddled with spies.","['Action', 'Crime', 'Thriller']"
Hanover Street,"Margaret is a nurse in England during WW2, and married to a secret agent. Things get complicated when she falls for David, an American pilot.","['Action', 'Adventure', 'Drama']"
Freaks: You're One of Us,"Tipped by a mysterious tramp, a meek fry cook discovers she has superpowers -- and uncovers an unsavory, vast conspiracy.","['Action', 'Drama', 'Fantasy']"
Sentinelle,"Transferred home after a traumatizing combat mission, a trained French soldier uses her lethal skills to hunt down the man who hurt her sister.","['Action', 'Crime', 'Drama']"
Deuces Wild,"Bobby, a member of The Deuces, and the sister of the rival Vipers member fall in love, promoting a street war between the two factions.","['Action', 'Drama']"
My Hero Academia: Heroes Rising,"A group of youths aspiring to become professional superheroes, fight in a world full of people with abilities, also known as quirks. Deku and his fellow classmates from Hero Academy face Nine, the strongest villain yet.","['Animation', 'Action', 'Adventure']"
Billionaire Ransom,Students at a reforming school for rebellious rich kids take matters into their own hands after the campus is taken hostage by a group of criminals.,"['Action', 'Adventure', 'Crime']"
In Like Flint,Super-spy Flint takes on a cabal of women plotting to rule the world.,"['Action', 'Adventure', 'Comedy']"
Scooby-Doo & Batman: The Brave and the Bold,Batman teams up with the Scooby Doo gang when villains from both of their worlds unite to wreak havoc on the city.,"['Animation', 'Action', 'Comedy']"
Project A 2,"Dragon is now transferred to be the police head of Sai Wan district, and has to contend with a gangster kingpin, anti-Manchu revolutionaries, some runaway pirates, Manchu Loyalists and a corrupt Police Superintendent.","['Action', 'Comedy', 'Crime']"
Cleopatra Jones and the Casino of Gold,"When fellow operatives (and childhood friends) Matthew Johnson and Melvin Johnson disappear during an undercover mission in Hong Kong, Cleopatra Jones (Tamara Dobson) travels there to find ... See full summary »",Action
Savage Islands,A swashbuckling adventure which takes place in the mid-1800's on the South Pacific islands where bloody raids and battles were once the rule of the day.,"['Action', 'Adventure', 'Comedy']"
Born a Champion,"Mickey Kelley, one of the first American black belts in Brazilian jiu-jitsu, gets pulled away from everything he loves and into an unsanctioned MMA tournament.","['Action', 'Drama', 'Sport']"
Arctic Blast,"When a solar eclipse sends a colossal blast of super chilled air towards the earth, it then sets off a catastrophic chain of events that threatens to engulf the world in ice and begin a new Ice Age.","['Action', 'Adventure', 'Drama']"
Naked Killer,A young woman is trained by a martial arts specialist to become a professional assassin.,"['Action', 'Crime', 'Romance']"
Welcome to the Jungle,A company retreat on a tropical island goes terribly awry.,"['Action', 'Adventure', 'Comedy']"
Lazarus,A super powered vigilante fights an organization to free a city from darkness.,"['Action', 'Sci-Fi']"
The Brawler,A boxer struggles to make his mark in the boxing world.,"['Action', 'Drama', 'Sport']"
Laththi,"A police constable, who gets trapped in a building with his 10-year-old kid, and how they escape from the building surrounded by a group of the enemy.","['Action', 'Drama']"
Gun Fury,"In Arizona, Frank Slayton's gang robs a stagecoach and kidnaps Ben Warren's fiancée, prompting Warren to pursue Slayton.","['Action', 'Adventure', 'Crime']"
Delta Force 2: The Colombian Connection,"When DEA agents are taken captive by a ruthless South American kingpin, the Delta Force is reunited to rescue them in this sequel to the 1986 film.","['Action', 'Adventure', 'Crime']"
Gabriel,Gabriel the archangel fights to bring light back to purgatory - a place where darkness rules - and save the souls of the city's inhabitants.,"['Action', 'Fantasy', 'Horror']"
Red Right Hand,"Cash is trying to live an honest and quiet life, but when Big Cat forces him back into her services, he proves capable of anything to protect the town and the only family he has left.","['Action', 'Thriller']"
Thor: God of Thunder,Thor's villainous uncle Loki has escaped Asgard to search for Yggdrasil - The Tree of the Nine Realms. The tree holds the power of the Universe and is hidden away on Earth. With the help of... See full summary »,"['Action', 'Fantasy']"
The Boy and the Beast,"When a young orphaned boy living on the streets of Shibuya stumbles upon a fantastic world of beasts, he's taken in by a gruff warrior beast looking for an apprentice.","['Animation', 'Action', 'Adventure']"
Raze,50 abducted women are forced to fight each other using their bare hands.,"['Action', 'Drama', 'Horror']"
Shangri-La Suite,"Two young, damaged lovers head to Los Angeles to kill the King of Rock n Roll in the summer of 1974.","['Action', 'Crime', 'Drama']"
Into the Grizzly Maze,Two estranged brothers reunite at their childhood home in the Alaskan wild. They set out on a two-day hike and are stalked by an unrelenting grizzly bear.,"['Action', 'Adventure', 'Drama']"
The Wild Angels,"The ""Angels"", a San Pedro motorcycle gang, parties in the Coachella Valley's Palm Springs Indian Canyons, California, and wreaks havoc with the local police.","['Action', 'Drama', 'Thriller']"
King of Devil's Island,"Norwegian winter, early 20th century. On the boys home Bastoy, a new inmate leads the boys to a violent uprising against a brutal regime. How far is he willing to go to attain freedom?","['Action', 'Drama']"
Saints and Soldiers,Four American soldiers and one Brit fighting in Europe during World War II struggle to return to Allied territory after being separated from U.S. forces during the historic Malmedy Massacre.,"['Action', 'Drama', 'War']"
The Jezebels,The leader of an inner-city girl gang is challenged when a new girl moves into the neighborhood.,"['Action', 'Crime', 'Drama']"
Holy Shit!,"Architect Frank wakes up from unconsciousness, squashed in a porta-potty. But it gets worse: In order not to be blown up during the imminent demolition, Frank must make his way out of his blue grave in one hour. A race against time.","['Action', 'Comedy', 'Thriller']"
Stockholm Bloodbath,"It follows Anne and Freja as they seek revenge on the men who murdered their family. They end up in Stockholm, where they are drawn into a political power struggle between Sweden and Denmark that culminates in a mass execution.","['Action', 'History']"
Safety Last!,A boy leaves his small country town and heads to the big city to get a job. As soon as he makes it big his sweetheart will join him and marry him. His enthusiasm to get ahead leads to some interesting adventures.,"['Action', 'Comedy', 'Thriller']"
The Stolen,"The story of a woman who must find her kidnapped son, navigating a world she doesn't know, on the edge of danger with every heartbeat.","['Action', 'Adventure', 'Drama']"
Pandemic,A New York doctor travels with her team to Los Angeles to find survivors of a worldwide pandemic.,"['Action', 'Horror', 'Sci-Fi']"
Men of War,A former Special Ops soldier leads a group of mercenaries to an island in the South China Sea: their mission is obtain the rights to the unusual treasure that the island beholds.,"['Action', 'Drama', 'Thriller']"
Radhe,"After taking the dreaded gangster Gani Bhai, ACP Rajveer Shikawat aka Radhe goes on a manhunt to find the wealthiest man of the town secretly running a crime syndicate.","['Action', 'Crime', 'Thriller']"
Death in Texas,"Just out of prison, Billy Walker returns to El Paso to find his mom dying of liver failure but low on the transplant list. However, the border offers other, darker options.","['Action', 'Drama']"
Murderers' Row,Handsome top-secret American agent Matt Helm must recover a laser-weapons inventor who has been kidnapped by arch-villain Julian Wall.,"['Action', 'Adventure', 'Comedy']"
Sailor Moon Cosmos,The Sailor Senshi team up with the Sailor Starlights to stop Sailor Galaxia from conquering the galaxy.,"['Animation', 'Action', 'Adventure']"
Desert Warrior,"An honorable and mysterious rogue, known as Hanzala, makes himself an enemy of the Emperor Kisra after he helps a fugitive king and princess in the desert.",Action
McQ,Seattle cop is caught up in a corrupt police force that he is trying to make right. McQ is a cop with a mission.,"['Action', 'Crime', 'Drama']"
Scorpio,"During the Cold War, the CIA orders free-lance operative Scorpio to assassinate his former CIA mentor Cross and a deadly cat-and-mouse game ensues.","['Action', 'Drama', 'Thriller']"
D.C. Cab,"The misadventures of a group of unfortunate but street-wise cabbies working for a Washington, D.C. decrepit taxicab company.","['Action', 'Comedy']"
Jackdaw,"A former motocross champion and army veteran is now caring for his younger brother. Broke, he agrees to do an open water pick up of a mysterious illegal package in the North Sea. A ... See full summary »","['Action', 'Thriller']"
A Murder of Crows,"A disbarred lawyer takes credit for a late friend's book, which becomes a smash hit but the tables turn on him sooner than he suspected.","['Action', 'Crime', 'Thriller']"
The Goblin,"Doo-hyun, who goes by the name the ""Goblin"", goes to prison for taking the fall for Young-min who killed their boss. Released after 10 years, Doo-hyun had been living a normal life, but ... See full summary »",Action
Shin Kamen Rider,A reboot of Kamen Rider (1971) to celebrate its 50th anniversary.,"['Action', 'Adventure', 'Drama']"
Dragon Wars: D-War,"Once in 500 years, ancient mythical creatures come to Earth, wreaking havoc and destruction. This time they must be stopped.","['Action', 'Drama', 'Fantasy']"
City Heat,"Slick Private Investigator Mike Murphy (Burt Reynolds) and tough Police Lieutenant Speer (Clint Eastwood), once partners, now bitter enemies, reluctantly team up to investigate a murder.","['Action', 'Comedy', 'Crime']"
A Low Down Dirty Shame,"An ex-cop, now a private detective, takes on the search for the millions stolen by a drug lord.","['Action', 'Comedy', 'Crime']"
Karthikeya 2,"A sequel to mystic thriller Karthikeya (2014), which deals with the personal problems of Karthik and how he comes out of them. His pursuit of the truth leads him to find out the power of Indian ancient system and Tatva of Lord Sri Krishna.","['Action', 'Adventure', 'Fantasy']"
Saaho,"An undercover cop becomes embroiled in a battle with warring criminals who want to acquire a ""black box,"" their ultimate key to a treasure.","['Action', 'Thriller']"
Gadar 2,"Set during the Indo-Pakistani War of 1971, Tara Singh returns to Pakistan to bring his son, Charanjeet, back.","['Action', 'Drama']"
Wheels on Meals,"Two Chinese friends, who operate a food truck in Barcelona, Spain, use their martial arts expertise to help their private investigator friend protect the pickpocket Sylvia, who's been targeted by a ruthless gang.","['Action', 'Comedy', 'Crime']"
Iron Monkey,A martial artist/doctor steals from the corrupt authorities as a masked thief to give to the poor while another martial artist/doctor is forced to hunt him down. But a major threat unites them as a powerful and traitorous shaolin monk takes over the authorities.,"['Action', 'Crime', 'Drama']"
3 Ninjas: High Noon at Mega Mountain,The three unstoppable Ninja brothers fight to save their hero (Hulk Hogan) and Mega Mountain Amusement Park from the vicious kid-hating Medusa (Loni Anderson).,"['Action', 'Adventure', 'Comedy']"
Heropanti 2,"Babloo Ranawat, a genius hacker, is tasked with tracking down Laila, the mastermind behind the world's largest cyber-crime yet to occur. Will Babloo be able to stop him?","['Action', 'Comedy', 'Crime']"
Spider-Man 4: Fan Film,Spider-Man returns to face his greatest challenge yet as he faces off against The Vulture.,"['Action', 'Adventure', 'Drama']"
The Connection,A French police magistrate spends years trying to take down one of the country's most powerful drug rings.,"['Action', 'Crime', 'Thriller']"
Micmacs,A man and his friends come up with an intricate and original plan to destroy two big weapons manufacturers.,"['Action', 'Comedy', 'Crime']"
Fabricated City,"After Kwon, an exceptional gamer, is wrongly framed for murder, he along with his allies decides to find the real culprit and prove his innocence.","['Action', 'Crime', 'Thriller']"
The Sicilian,"Egocentric bandit Salvatore Giuliano fights the Church, the Mafia, and the landed gentry while leading a populist movement for Sicilian independence.","['Action', 'Crime', 'Drama']"
Taxi 3,"Out to stop a new gang disguised as Santa Claus, Emilien and Daniel must also handle major changes in their personal relationships.","['Action', 'Comedy', 'Crime']"
Spriggan,An elite superhuman agent must stop a foreign military unit from seizing control of an ancient artifact that holds the key to ultimate power.,"['Animation', 'Action', 'Adventure']"
Dance Flick,"Street dancer Thomas Uncles is from the wrong side of the tracks, but his bond with the beautiful Megan White might help the duo realize their dreams as they enter in the mother of all dance battles.","['Action', 'Comedy', 'Music']"
Universal Soldier: Regeneration,"Terrorists kidnap the Russian Prime Minister's 2 kids, take Chernobyl nuclear power plant and threaten to blow up a reactor. 4 Universal Soldiers go in but are no match to a Next Gen. UniSol Luc (Jean-Claude Van Damme) goes in but faces 2 NGUs.","['Action', 'Adventure', 'Sci-Fi']"
Sher Shivraj,One of the greatest and bravest incident from the life of The Great Maratha King Chhatrapati Shivaji Maharaj where he defeated Afzalkhan with his brilliant tactics and courage.,"['Action', 'Drama', 'History']"
Undead,"A quaint Australian fishing village is overcome by meteorites that turn its residents into the ravenous undead, leaving a small group of those unharmed to find a way out.","['Action', 'Comedy', 'Fantasy']"
Veeram,"Vinayagam, an honest man, uses violence to settle disputes. He decides to mend his ways for his lover's sake. Hell breaks loose when he learns about a gang of rowdies following his lover's family.","['Action', 'Drama']"
Terminal Velocity,A maverick skydiver and a former KGB agent team up to stop the Russian mafia from stealing gold.,"['Action', 'Mystery', 'Romance']"
Rangasthalam 1985,Chitti Babu begins to suspect his elder brother's life is in danger after they team up to lock horns with their village president and overthrow his unlawful 30 year old regime.,"['Action', 'Drama']"
Hell Hath No Fury,"Branded a traitor by her countrymen, French national Marie DuJardin is rescued by American soldiers on one condition: to survive, she must lead them to a cache of gold hunted by the Nazis, the French resistance, and the Americans alike.","['Action', 'War']"
Catch Me If You Can,A hotshot car racer persuades the class president of a small Minnesota high school to gamble on illegal car races to raise money for their school facing closure.,"['Action', 'Comedy', 'Drama']"
Super-héros malgré lui,"A struggling actor who seems doomed to lead the life of a loser. When finally gets a lead role as a superhero named ""Badman,"" he feels like everything is possible but fate strikes again.","['Action', 'Comedy']"
Out of Bounds,"Daryl's parents ship him off to the big city to live with his brother, hoping he will have a better life there. After a baggage mix-up at the airport, Daryl finds himself in possession of a drug cache, which a drug dealer wants back.","['Action', 'Crime', 'Drama']"
Dead Rising: Watchtower,An ineffective vaccine fails to stop an epidemic which is turning people into zombies. The survivors organize themselves to escape from the living dead.,"['Action', 'Horror']"
Echelon Conspiracy,"At first, the strange phone messages promised great wealth. Soon, though, government agents pursue the young engineer receiving them around the world.","['Action', 'Crime', 'Thriller']"
Kabzaa,"In 1947 a Gandhi follower and a freedom fighter were brutally attacked. Due to unavoidable circumstances, the freedom fighter son gets trapped in the mafia world and the story revolves between 1942 to 1986.","['Action', 'Crime', 'Drama']"
Miss Bala,"After entering a beauty contest in Tijuana, a young woman witnesses drug-related murders and is forced to do the gang's bidding.","['Action', 'Crime', 'Drama']"
Arsène Lupin,"As the daring thief Arsène Lupin (Romain Duris) ransacks the homes of wealthy Parisians, the Police, with a secret weapon in their arsenal, attempt to ferret him out.","['Action', 'Adventure', 'Crime']"
Citizen Toxie: The Toxic Avenger IV,"The Toxic Avenger must defend his friends from his own evil alternate universe doppelgänger, The Noxious Offender.","['Action', 'Comedy', 'Fantasy']"
The Accidental Spy,"At a Hong Kong shopping center, Buck Yuen's (Jackie Chan's) intuition warns him. He saves a robbery's loot and gets on television, ends up in Istanbul via South Korea, and accidentally becomes a spy. Fortunately, he knows Kung Fu.","['Action', 'Comedy', 'Crime']"
Kung Fu Jungle,"A martial arts instructor from the police force gets imprisoned after killing a man by accident. But when a vicious killer starts targeting martial arts masters, the instructor offers to help the police in return for his freedom.","['Action', 'Crime', 'Thriller']"
The Battle of Jangsari,A unit of student soldiers on a diversionary mission for the Battle of Incheon during the Korean War in 1950.,"['Action', 'Drama', 'War']"
Seeking Justice,"After his wife is assaulted, a husband enlists the services of a vigilante group to help him settle the score. Then he discovers they want a 'favor' from him in return.","['Action', 'Crime', 'Drama']"
Zorro: The Gay Blade,"Zorro, the legendary swordsman, has passed on his weapon and his sense of duty to his noble son, Diego, a dashing swashbuckler like his father. But after an injury sidelines Diego, he is forced to hand the mask over to his twin, Ramon.","['Action', 'Adventure', 'Comedy']"
Shadow Wolves,A rogue NSA agent joins an elite group of Native American trackers who call themselves the Shadow Wolves as they engage in missions to protect justice in America and abroad.,"['Action', 'Adventure', 'Thriller']"
Omkara,A politically-minded enforcer's misguided trust in his lieutenant leads him to suspect his wife of infidelity in this adaptation of Shakespeare's 'Othello'.,"['Action', 'Crime', 'Drama']"
See You Yesterday,"Two Brooklyn teenage prodigies, C.J. Walker and Sebastian Thomas, build makeshift time machines to save C.J.'s brother, Calvin, from being wrongfully killed by a police officer.","['Action', 'Adventure', 'Crime']"
Tokyo Drifter,"After his gang disbands, a yakuza enforcer looks forward to life outside of organized crime but soon must become a drifter after his old rivals attempt to assassinate him.","['Action', 'Crime']"
Sweet Virginia,A former rodeo champ befriends a young man with a propensity for violence.,"['Action', 'Drama', 'Thriller']"
The Passage,"During World War II, a Basque shepherd is approached by the underground, who wants him to lead a scientist and his family across the Pyrenees while being pursued by a sadistic German.","['Action', 'Drama', 'War']"
Sooryavanshi,"Sooryavanshi traces the acts and serious antics of DCP Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India.","['Action', 'Crime', 'Thriller']"
Thunderbolt,"In order to release his kidnapped sister, sports car mechanic Chan Foh To (Jackie Chan) has to beat a supercriminal street racer.","['Action', 'Crime', 'Thriller']"
Night of the Juggler,"A tough, New York City ex-cop relentlessly searches for his kidnapped teenage daughter whom is held by a twisted psycho after mistaking her for the daughter of a wealthy businessman.","['Action', 'Crime', 'Drama']"
Tiger House,"Kelly sneaks into her boyfriend's house but tonight, she's not the only unwelcome visitor. As the situation spirals out of control, the suburban house becomes a terrifying arena for violence.","['Action', 'Crime', 'Drama']"
Rio Conchos,A former Confederate officer and a Mexican try to prevent a former Confederate colonel from selling stolen rifles to renegade Apaches in Mexico.,"['Action', 'Drama', 'War']"
Superlopez,"Juan López, an ordinary and anonymous office worker, decides to expose his superpowers to turn into the first Spanish superhero: Superlópez.","['Action', 'Comedy', 'Sci-Fi']"
Let the Bullets Fly,"In 1920s China, a bandit arrives in a remote provincial town posing as its new mayor, where he faces off against a tyrannical local nobleman.","['Action', 'Comedy', 'Drama']"
Secretly Greatly,Three elite North Korean sleeper agents live undercover for so long that they believe their cover stories are their real identities. They're shocked when they are ordered to kill one another or face death at the hands of an elite hit team.,"['Action', 'Comedy', 'Drama']"
Detour,A young law student blindly enters into a pact with a hoodlum who offers to kill his stepfather - a man he feels is responsible for the accident that sent his mother into a coma.,"['Action', 'Thriller']"
Yeom-lyeok,"After drinking water from a mountain spring, a bank security guard gains telekinetic superpowers, which he must use to save his estranged daughter from an evil construction company, as a superhero.","['Action', 'Comedy', 'Fantasy']"
The Man,"Special Agent Derrick Vann is a man out to get the man who killed his partner, but a case of mistaken identity leads him to Andy Fiddler, a salesman with too many questions and a knack of getting in Vann's way.","['Action', 'Comedy', 'Crime']"
Bull,Action film inspired by the real-life events of Brigadier Bulsara of Indian Army.,Action
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,"Kazuma's party is suddenly alerted by an outrageous letter delivered by Yunyun. The letter requested that they come to the Crimson Demon Clan's village, that is facing a threat that could mean it's ending.","['Animation', 'Action', 'Adventure']"
Desperate Hours,"An escaped con, on the run from the law, moves into a married couple's house and takes over their lives.","['Action', 'Crime', 'Drama']"
Reign of Assassins,Drizzle/Zeng Jing tries to start a new life after she had betrayed her gang and hid the remains of monk.,"['Action', 'Adventure']"
King Kong vs. Godzilla,A UN reporter broadcasts a report on the appearance of a prehistoric monster that emerges from hibernation while a pharmaceutical company seeks publicity with a monster of their own. (US Version),"['Action', 'Adventure', 'Fantasy']"
Soul Snatcher,"Fox spirit Bai gets a quest for immortality in human world where he befriends the innocent scholar Wang. They ally to fight mythic creatures and evil spirits on their journey. Yet, to finish Bai's quest, he must sacrifice Wang after all.","['Action', 'Fantasy']"
New Kids Turbo,Five friends from 'Maaskantje' are getting fired because of the economic crisis. They decide that they won't pay for anything anymore.,"['Action', 'Comedy']"
The Newton Boys,"The story of the Newton gang, the most successful bank robbers in history, owing to their good planning and minimal violence.","['Action', 'Crime', 'Drama']"
Daylight's End,"Years after a mysterious plague has turned most of humanity into blood-hungry creatures, a vengeful drifter takes up with a group of survivors in an abandoned police station.","['Action', 'Fantasy', 'Horror']"
To End All Wars,A true story about four Allied POWs who endure harsh treatment from their Japanese captors during World War II while being forced to build a railroad through the Burmese jungle. Ultimately ... See full summary »,"['Action', 'Drama', 'War']"
Aqua Teen Hunger Force Colon Movie Film for Theaters,"An action epic that explores the origins of Master Shake, Frylock, and Meatwad, better known as the Aqua Teen Hunger Force, who somehow become pitted in a battle over an immortal piece of exercise equipment.","['Animation', 'Action', 'Adventure']"
Seoul Vibe,The drivers of the Sanggye-dong Supreme Team become mired in the slush fund investigation of a powerful person on the very day of the 1988 Seoul Olympics opening ceremony.,"['Action', 'Comedy', 'Crime']"
Stroker Ace,"The title character, a popular NASCAR driver, clashes with the fried-chicken mogul that sponsors his racing team.","['Action', 'Comedy', 'Romance']"
White Tiger,"Great Patriotic War, early 1940s. After barely surviving a battle with a mysterious, ghostly-white Tiger tank, Red Army Sergeant Ivan Naydenov becomes obsessed with its destruction.","['Action', 'Adventure', 'Fantasy']"
Rebel Ridge,"A high-velocity thriller that explores systemic American injustices through bone-breaking action sequences, suspense and dark humor.","['Action', 'Thriller']"
Little America,"In a dystopian future where China owns America, a former American Force Recon member is hired by a Chinese billionaire to go to an American ghetto and find his daughter.","['Action', 'Adventure', 'Sci-Fi']"
Legionnaire,"Alain is a boxer in 1925 Marseille, France. When he doesn't take the dive paid to take by a mob boss, he has to split. He joins the Foreign Legion and is sent to Morocco. He makes 3 friends and they watch each other's backs.","['Action', 'Adventure', 'Drama']"
Pursuit of the Graf Spee,"In the first major naval battle of World War II, the British Navy must find and destroy a powerful German warship.","['Action', 'Adventure', 'Drama']"
Dying of the Light,"When a devastating illness threatens to end Evan Lake's career in the C.I.A., he goes rogue to hunt down a terrorist who tortured him during a mission gone awry years ago.","['Action', 'Drama', 'Thriller']"
Evangelion: 2.0 You Can (Not) Advance,"Under constant attack by Angels, NERV introduces two new pilots: the mysterious Makinami Mari Illustrous and the intense Asuka Langley Shikinami. Parallel to the incursion, Gendo Ikari and ... See full summary »","['Animation', 'Action', 'Drama']"
Red Cliff II,Second and final part of epic tale about a legendary battle that changed the course of China history.,"['Action', 'Adventure', 'Drama']"
Officer Down,"When a cop's crooked past comes back to get him, can he do the right thing, or will he succumb to the threats of his dangerous connections?","['Action', 'Crime', 'Drama']"
Les vampires,An intrepid reporter and his loyal friend battle a bizarre secret society of criminals known as The Vampires.,"['Action', 'Adventure', 'Crime']"
Aankhen,Two good-for-nothing brothers are embroiled in a conspiracy involving a political assassination and try their best to save the country.,"['Action', 'Comedy', 'Crime']"
Jackpot,"Four guys win a jackpot over a million dollars, but when it comes to dividing it up, things get bloody. Based on the 2011 Norwegian film, ""Jackpot"".","['Action', 'Comedy', 'Crime']"
The Great Sioux Massacre,"A somewhat different take on Custer's motivation that changed him from a defender of Native-American rights into a politically-driven, headline-seeker chastiser of the Sioux during the 1870s.","['Action', 'Biography', 'Drama']"
All the Devil's Men,"A battle-scarred War on Terror bounty hunter is forced to go to London on a manhunt for a disavowed CIA operative, which leads him into a deadly running battle with a former military comrade and his private army.","['Action', 'Thriller']"
Trauma Center,"Alone and trapped in a locked-down hospital, an injured young woman must escape a pair of vicious killers who are after the only piece of evidence that can implicate them in a grisly murder, the bullet in her leg.","['Action', 'Thriller']"
Half Past Dead,A man goes undercover in a hi-tech prison to find information to help prosecute those who killed his wife. While there he stumbles onto a plot involving a death-row inmate and his $200 million stash of gold.,"['Action', 'Crime', 'Thriller']"
Best of the Best II,"The Colosseum is the fighting arena owned by the champion Bracus. Now after the death of their friend, Tommy Lee and Alex Grady want revenge.","['Action', 'Crime', 'Drama']"
Crow,"One Halloween night, a Detroit man wades through a brutal odyssey of his memories and dreams, searching for the men who left him to die in the trunk of a car. A fan film dedicated to the cult series ""The Crow"" by James O'Barr.","['Action', 'Mystery', 'Thriller']"
Malang,"Advait visits Goa where he meets Sara, a free-spirited girl who lives life unshackled. Opposites attract and all goes well until life turns upside down. Years later, Advait is on a killing spree with cops Aghase and Michael in his way.","['Action', 'Crime', 'Drama']"
An Innocent Man,"A man is framed by two corrupt cops for drugs. After he gets out of prison, he comes after them.","['Action', 'Crime', 'Drama']"
Pink Cadillac,"Skip tracer Tommy looks for bail-jumper Lou Ann. Her crime is marrying Roy, who left counterfeit money in their mobile home and got her arrested. She leaves Roy in his pink Cadillac full of money. His psycho friends want their money back.","['Action', 'Comedy', 'Crime']"
Flight 666,Passengers and crew on a flight are attacked by unseen forces that threaten all aboard.,"['Action', 'Horror']"
Day of Reckoning,"Fifteen years ago evil creatures from the underworld plagued the Earth with the intent of eliminating mankind. Dubbed the Day of Reckoning by survivors of the hellish holocaust, warriors of mankind again must battle the forces of darkness.","['Action', 'Horror', 'Sci-Fi']"
Gunfight at Dry River,"The US-Mexican border in 1888. In Dry River, a desert town debilitated by drought, a promise of gold will bring hope, love, and death in equal measure.","['Action', 'Drama', 'Romance']"
The Moderator,"After the murder of her two Scandinavian friends in Morocco, a Russian blogger decides to do her own justice.","['Action', 'Drama', 'Thriller']"
Circle of Iron,"A young martial artist embarks on an adventure, encountering other martial artists in battle until one day he meets an aging blind man who will show him the true meaning of martial arts and life.","['Action', 'Adventure', 'Fantasy']"
Robopocalypse,A sci-fi story set in the aftermath of a robot uprising.,"['Action', 'Adventure', 'Sci-Fi']"
Khuda Haafiz Chapter 2 Agni Pariksha,"Sameer and Nargis, after overcoming all odds, find a ray of sunshine when little Nandini enters their lives and their family is complete; But their happiness is short-lived. In a bizarre twist of fate, Nandini goes missing.","['Action', 'Crime', 'Drama']"
Buck Rogers in the 25th Century,A 20th century astronaut emerges out of 500 years of suspended animation into a future time where Earth is threatened by alien invaders.,"['Action', 'Adventure', 'Sci-Fi']"
Merantau,A young man from the countryside uses his skills in silat martial arts to survive the slave trade.,"['Action', 'Drama']"
Fast and Loose,"After the leader of a criminal organization suffers memory loss from an attack, he reunites with his crew, only to find that things aren't what he thinks they are.","['Action', 'Crime', 'Thriller']"
Rurouni Kenshin: The Legend Ends,"Shishio has set sail in his ironclad ship to bring down the Meiji government and return Japan to chaos, carrying Kaoru with him. In order to stop him in time, Kenshin trains with his old master to learn his final technique.","['Action', 'Adventure', 'Drama']"
Field of Lost Shoes,A group of teenage cadets sheltered from war at the Virginia Military Institute must confront the horrors of an adult world when they are called upon to defend the Shenandoah Valley.,"['Action', 'Drama', 'War']"
Nezha Reborn,"A normal young deliveryman Li Yunxiang, though coming from the slum area, is living a satisfying life but when the arrogant wealthy son of Boss beats him down, his deep anger turns into a blast of Truth Fire.","['Animation', 'Action', 'Fantasy']"
Attack on Titan Part 2,A young boy name Eren Jaeger has to use his gift to know about the mystery of the Titans.,"['Action', 'Adventure', 'Fantasy']"
Amazon Hot Box,"An innocent college student is tossed into a jungle hellhole where she must fight for her life against an evil wardress, psycho inmates, voodoo experiments and the incredible torture machine.","['Action', 'Drama', 'Horror']"
Flame & Citron,A drama centered on two fighters in the Holger Danske World War II resistance group.,"['Action', 'Drama', 'History']"
The Violence Action,A young girl leads a double life as an assassin for hire.,"['Action', 'Drama']"
Cold Blood,"A hit-man lives isolated in a cabin at the edge of a lake. One day, an injured woman arrives in front of his house. To save her, he could well risk his own life.","['Action', 'Thriller']"
Ratchet & Clank,"When the galaxy comes under the threat of a nefarious space captain, a mechanic and his newfound robot ally join an elite squad of combatants to save the universe.","['Animation', 'Action', 'Adventure']"
Across 110th Street,Two New York City cops go after amateur crooks who are trying to rip off the Mafia and start a gang war.,"['Action', 'Crime', 'Drama']"
